Wrocław, ul. Wyb. J.Conrada-Korzeniowskiego 18,
Data,PM10,PM2.5,tlenek węgla ,dwutlenek siarki,dwutlenek azotu,
2023-01-01,14.4,10.4,0.3,8.0,9.0,
2023-01-02,22.6,13.6,0.4,3.7,22.5,
2023-01-03,17.9,12.2,0.4,3.8,26.7,
2023-01-04,19.8,14.3,0.4,3.6,22.1,
2023-01-05,6.3,4.1,0.3,2.5,6.8,
2023-01-06,10.1,8.3,0.3,3.0,11.0,
2023-01-07,20.6,17.2,0.4,4.3,24.5,
2023-01-08,29.7,26.7,0.5,4.1,19.5,
2023-01-09,25.8,20.9,0.5,3.9,28.8,
2023-01-10,14.3,11.9,0.4,3.7,19.0,
2023-01-11,15.0,10.6,0.4,3.3,20.3,
2023-01-12,12.2,8.1,0.4,3.5,18.5,
2023-01-13,10.7,7.2,0.3,3.3,19.3,
2023-01-14,11.0,7.7,0.3,3.1,12.0,
2023-01-15,7.7,6.5,0.3,2.9,11.2,
2023-01-16,14.5,10.8,0.3,4.5,18.8,
2023-01-17,23.5,16.9,0.5,4.5,30.7,
2023-01-18,32.6,29.5,0.5,3.9,30.2,
2023-01-19,25.8,20.9,0.5,4.9,30.8,
2023-01-20,61.6,52.5,0.8,5.9,39.7,
2023-01-21,21.1,19.2,0.4,2.6,15.6,
2023-01-22,26.2,24.6,0.5,4.3,16.1,
2023-01-23,34.7,32.3,0.4,3.3,18.3,
2023-01-24,41.3,37.7,0.5,3.7,19.5,
2023-01-25,22.9,20.7,0.4,4.7,20.9,
2023-01-26,39.0,32.5,0.5,6.0,27.4,
2023-01-27,34.7,32.1,0.5,3.6,22.3,
2023-01-28,18.9,16.7,0.4,2.3,11.9,
2023-01-29,15.9,13.7,0.3,3.6,10.6,
2023-01-30,14.2,11.5,0.3,3.0,14.3,
2023-01-31,11.1,7.2,0.3,2.3,10.7,
2023-02-01,9.2,6.2,0.3,3.1,10.6,
2023-02-02,7.2,5.5,0.3,2.4,7.7,
2023-02-03,11.8,9.0,0.3,2.7,17.0,
2023-02-04,8.6,6.9,0.3,2.1,6.6,
2023-02-05,19.8,17.1,0.4,2.6,19.2,
2023-02-06,42.6,36.6,0.6,5.0,33.1,
2023-02-07,60.3,50.8,0.6,4.8,27.3,
2023-02-08,42.1,35.9,0.4,6.2,26.1,
2023-02-09,45.6,36.0,0.4,5.3,26.6,
2023-02-10,36.1,25.5,0.4,4.8,23.3,
2023-02-11,30.5,24.7,0.4,4.2,17.0,
2023-02-12,18.6,14.9,0.3,3.3,12.4,
2023-02-13,14.3,11.6,0.3,3.4,16.2,
2023-02-14,24.7,15.5,0.3,2.4,18.3,
2023-02-15,39.5,32.9,0.5,4.2,27.7,
2023-02-16,55.9,45.7,0.6,4.7,35.0,
2023-02-17,24.2,19.3,0.3,4.0,23.8,
2023-02-18,8.0,5.0,0.2,2.6,9.1,
2023-02-19,6.9,5.7,0.2,2.2,6.8,
2023-02-20,11.5,6.8,0.2,3.0,14.0,
2023-02-21,9.1,6.2,0.3,2.8,10.4,
2023-02-22,22.5,15.4,0.3,3.9,22.2,
2023-02-23,43.0,34.8,0.4,8.3,25.5,
2023-02-24,21.4,17.5,0.3,3.0,17.2,
2023-02-25,5.9,5.3,0.3,1.9,6.1,
2023-02-26,9.3,7.9,0.2,2.1,10.1,
2023-02-27,17.8,13.2,0.3,2.9,20.3,
2023-02-28,31.9,25.9,0.3,5.0,25.6,
2023-03-01,61.5,48.9,0.7,6.5,49.5,
2023-03-02,72.5,62.8,0.7,5.8,37.7,
2023-03-03,24.8,22.0,0.3,2.3,14.2,
2023-03-04,18.4,14.0,0.3,2.3,3.5,
2023-03-05,10.4,8.1,0.3,2.3,2.7,
2023-03-06,18.1,15.5,0.3,2.6,7.2,
2023-03-07,23.0,18.3,0.4,3.0,5.9,
2023-03-08,16.5,14.0,0.4,4.0,6.9,
2023-03-09,23.5,21.7,0.5,3.3,8.2,
2023-03-10,14.7,10.2,0.4,3.5,6.5,
2023-03-11,6.7,5.6,0.3,2.4,1.6,
2023-03-12,11.0,8.5,0.2,3.3,2.7,
2023-03-13,14.1,9.3,0.3,3.1,5.1,
2023-03-14,15.7,8.9,0.3,3.1,5.7,
2023-03-15,13.2,8.3,0.3,2.6,4.0,
